name,domain,category,description,hq,website
Ailytics,digital,Series A,Video Analytics for Site Safety,Singapore,
Invigilio,digital,Pre-seed,Video Analytics for Site Safety,Singapore,
dConstruct,robotics,Series A,Autonomous robotics for progress monitoring and inspection,Singapore,
FieldAI,robotics,Series A,Autonomous robotics for progress monitoring and inspection,US,
Fabrica AI,robotics,Pre-seed,Tile Grouting Robot,Singapore,
H3 Zoom,digital,Series B,Drone Façade Inspection,Singapore,
KenRobotec,robotics,Pre-seed,Rebar tying robot,Japan,
Operva AI,digital,Pre-seed,Drone Façade Inspection,Singapore,
Myrlabs,robotics,Pre-seed,Ceiling Crawler Robot,Singapore,
